VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2021-07-01 10:34:22,2021-07-01 10:38:31,N,1.0,41,41,1.0,0.64,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
2.0,2021-07-01 10:53:27,2021-07-01 10:56:21,N,1.0,42,41,1.0,0.49,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,2.0,1.0,0.0
2.0,2021-07-01 10:18:55,2021-07-01 10:39:09,N,1.0,41,163,1.0,3.63,16.0,0.0,0.5,0.0,0.0,,0.3,19.55,2.0,1.0,2.75
1.0,2021-07-01 10:43:31,2021-07-01 10:47:03,N,1.0,166,151,1.0,0.7,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,3.0,1.0,0.0
2.0,2021-07-01 10:35:36,2021-07-01 10:35:41,N,5.0,134,134,1.0,0.0,25.0,0.0,0.0,0.0,0.0,,0.3,25.3,2.0,2.0,0.0
2.0,2021-07-01 10:14:58,2021-07-01 10:25:58,N,1.0,243,136,1.0,3.45,12.5,0.0,0.5,2.66,0.0,,0.3,15.96,1.0,1.0,0.0
2.0,2021-07-01 10:30:53,2021-07-01 10:57:19,N,1.0,41,145,1.0,6.22,23.0,0.0,0.5,0.0,6.55,,0.3,30.35,2.0,1.0,0.0
2.0,2021-07-01 10:45:54,2021-07-01 11:13:46,N,5.0,123,27,1.0,8.79,41.1,0.0,0.0,0.0,2.45,,0.3,43.85,1.0,1.0,0.0
2.0,2021-07-01 10:06:28,2021-07-01 10:07:24,N,1.0,74,74,1.0,0.01,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,2.0,1.0,0.0
2.0,2021-07-01 10:24:18,2021-07-01 10:38:53,N,1.0,74,238,1.0,2.68,12.0,0.0,0.5,3.11,0.0,,0.3,18.66,1.0,1.0,2.75
2.0,2021-07-01 10:46:18,2021-07-01 10:49:31,N,1.0,236,236,1.0,0.71,4.5,0.0,0.5,5.0,0.0,,0.3,13.05,1.0,1.0,2.75
